weapon,skin,wear,float,pattern,stattrak,price,phase,fade_seed,fade_percentage,fade_rank,fade_type,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AWP,Fade,Factory New,0.0236097816377878,652,0,1480.0,,652,99.23043,34,fade,2,11.28,5.64,5.64,0.0076216216216216,Sticker | Taste Buddy (Holo),5.64,Sticker | Taste Buddy (Holo),5.64,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.02689605244433555,652,0,1455.06,,652,99.23043,34,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.029890189331108492,652,0,1419.89,,652,99.23043,34,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0268960524443355,652,0,1455.06,,652,99.23043,34,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0298901893311084,652,0,1419.89,,652,99.23043,34,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0330687165260314,743,0,1486.04,,743,99.701004,13,fade,4,10.64,2.66,3.31,0.007159968776076,Sticker | dexter (Holo) | Rio 2022,2.09,Sticker | dexter (Holo) | Paris 2023,3.31,Sticker | dexter (Holo) | Paris 2023,3.31,Sticker | MOUZ (Holo) | Paris 2023,1.93,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.023522957988708605,743,0,1414.99,,743,99.701004,13,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0375159035379604,743,0,1469.85,,743,99.701004,13,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0235229579887086,743,0,1414.99,,743,99.701004,13,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0375159035379604,743,0,1469.85,,743,99.701004,13,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
